         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            76502384              88        15.56        21.35         1369.28         1878.80
            76502381               7        12.56        18.35           87.92          128.45
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502380              18        11.56        17.35          208.08          312.30
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502382              96        13.56        19.35         1301.76         1857.60
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502383               3        14.56        20.35           43.68           61.05
            76502384              88        15.56        21.35         1369.28         1878.80
            76502379               7        10.56        16.35           73.92          114.45
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
            76502384              88        15.56        21.35         1369.28         1878.80
